cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
20071,350,350,,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Ingeniería Sísmica y Dinámica Estructural,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alejandro.cruz@correounivalle.edu.co,"Aplicación de solicitaciones dinámicas especificas a estructuras pequeñas o modelos a escala (ensayo destructivo o no destructivo)

• Carga impulsiva
• Frecuencia constante
• Barrido de frecuencias
• Carga aleatoria (sismo)
Características del comportamiento dinámico: 
• Frecuencias naturales
• Modos de vibración
• Amortiguamiento modal
• Histéresis
• Esfuerzos y deformaciones ","GRUPO DE INVESTIGACION EN INGENIERIA SISMICA, INGENIERIA EOLICA Y ESTRUCTURAS INTELIGENTES (G-7)",A,Investigador Senior (IS),,,,,,,0%,003A del 25 de enero de 2011,,1 contratista de apoyo administrativo
20072,350,350,,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Ingeniería de Suelos y Pavimentos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,diego.duque@correounivalle.edu.co,"El laboratorio ofrece los siguientes ensayos a la comodidad universitaria y externa, para lo cual aplica las normas INVIAS y NSR-10

Suelos: Humedad natural, Peso unitario, Peso especifico de los sólidos, Límite líquido, Límite plástico, Limite de contracción, Granulometría por tamizado, Granulometría por hidrómetro
Permeabilidad: Permeabilidad (Permeámetro de cabeza variable), Permeabilidad en consolidómetro, Precolación
Consolidación: Consolidación lenta en consolidómetro
Expansión: Porcentaje de expansión (consolidómetro), Expansión libre en probeta, Presión de expansión en expansómetro de Lambe,Presión de expansión en consolidómetro
Compactación: Proctor modificado, Proctor estándar
Capacidad de soporte de california (C.B.R)
• Método I (Granular)
• Método II (Cohesivo)
• Muestras inalteradas
Esfuerzo: Compresión inconfinada, Corte directo (no consolidado no drenado), Corte directo ( consolidado no drenado ), Corte directo ( consolidado drenado), Compresión triaxial (no consolidado no drenado), Compresión triaxial ( consolidado no drenado ), Compresión triaxial ( consolidado drenado)
Perforaciones: Perforación con equipo de rotación y percusión hasta 30 m de profundidad, Barrenos manuales y pala hoyadora, Aplique
Asfaltos: Gravedad especifica, Penetración, Punto de llama y fuego, Tiempo de rotura de emulsión asfáltica, Destilación de asfaltos líquidos, Viscosidad Saybolt Furol, Contenido de asfalto de una emulsión
Agregado Mineral: Adherencia, Equivalente de arena, Gravedad especifica y absorción, Índice de lajas y agujas, Resistencia a los sulfatos (5 ciclos)
Concreto asfáltico: Contenido de asfalto de la mezcla, Estabilidad y flujo Marshall, Peso unitario, Toma de probetas, Diseño Marshall, Gravedad especifica Rice",,,,,,,,,,3%,003A del 25 de enero de 2011,,No tiene personal. Solo el profesor
20073,346,346,2003,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Cartografía y Sistemas de Información Geográfica,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jhonjairo.barona@correounivalle.edu.co,"Desarrollo de Sistemas de Información Geográfica
Desarrollo de de bases de datos
Generación de mapas topográficos y temáticos
Desarrollo de Infraestructura de datos espaciales
Desarrollo de geoservicios: WMS, WFS, WPS.",,,,,,,,,,10%,149 del 27 de noviembre de 2012            124A del 24 de septiembre de 2013,,No tiene personal. Solo el profesor
20074,346,346,2010,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Geoposicionamiento ,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jhonjairo.barona@correounivalle.edu.co,"Asesoría en el diseño de procesos de geo-posicionamiento
Asesoría en la construcción de desarrollos a base de tecnología GPS-GNSS
Procesamiento de datos GNSS especializado
Servicio de base comunitaria GNSS
Caster NTRIP
Generaci´n de Boletines de alertas por actividad SOOLAR
Generación de Mapas ionosféricos regionales y nacionales",,,,,,,,,,0%,No tiene,,No tiene personal. Solo el profesor
20075,347,347,2011,INGENIERIA CIVIL Y GEOMATICA,Laboratorio Fotogrametría Análoga,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jorge.e.garcia@correounivalle.edu.co,"• Identificar y analizar fenómenos biofísicos y socioeconómicos a partir de imágenes fotográficas aéreas en formato análogo
• Monitoreo de recursos naturales para estudios ambientales.
• Fotointerpretación ",,,,,,,,,,0%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20076,347,347,2010,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Transporte ,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,ciro.jaramillo@correounivalle.edu.co,"• Planes de movilidad
• Evaluaciones de accesibilidad
• Análisis de accidentalidad
• Estudios de impacto ambiental ","GRUPO DE INVESTIGACION EN TRANSPORTE, TRANSITO Y VIAS - GITTV",C,Investigador Asociado (I),,,,,,,8%,149 del 27 de noviembre de 2012,,"Es un laboratorio de investigación, tiene tesistas"
20077,346,346,2016,INGENIERIA CIVIL Y GEOMATICA,Laboratorio Gismodel,INVESTIGACION/EXTENSION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,mauricio.rincon@correounivalle.edu.co,"• Apoyo en la modelación dinámica especial a través del desarrollo de herramientas de informática.
• Manejo y servicio de información espacial de acceso en línea a través de Internet y Renata.
• Divulgacion y mantenimiento de los Geoportales ambientales de Colombia y Valle del Cauca.
• Presentación de información ambiental para Cali.
• Manejo y mantenimiento del Geoportal de Univalle.","GRUPO DE INVESTIGACIÓN EN SIMULACIÓN Y MODELACIÓN DINÁMICA ESPACIAL, GISMODEL",C,,,,,,,,6%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20078,350,350,,INGENIERIA CIVIL Y GEOMATICA,Laboratorio Marco de Pruebas y Homologaciones,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alejandro.cruz@correounivalle.edu.co,"Estudios de homologación y desarrollo de propuestas para regímenes especiales de sistemas constructivos que se salen de la norma NSR-10.
Ejecución de ensayos de modelos a escala natural de diferentes elementos estructurales de madera, mampostería, metal, concreto, etc., sometidos a cargas cíclicas.
Evaluación y mejoramiento del desempeño estructural de sistemas constructivos tradicionales.
Evaluación de sistemas de refuerzo y rehabilitación de estructuras.",,,,,,,,,,0%,003A del 25 de enero de 2011,,No tiene personal. Solo el profesor
20079,346,346,2005,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Sensores Remotos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,francisco.hernandez@correounivalle.edu.co,"El Laboratorio de Sensores Remotos presta básicamente tres tipos de servicios dependiendo del usuario o cliente del mismo, así:

Servicios de Docencia: Consiste brindar un espacio para el desarrollo de proyectos de grado en Ingeniería y ciencias geográficas y de la tierra, además en el soporte para el desarrollo de cursos obligatorios y electivos.
Servicios de Investigación: Consiste en el desarrollo de proyectos de investigación, innovación y desarrollo que permitan avanzar en el conocimiento, modelamiento, monitoreo y análisis de fenómenos biofísicos empleando los Sensores Remotos. Además el laboratorio podrá prestar los servicios de asesorías, consultorías con la posibilidad de brindar educación continua en el modelamiento y monitoreo de fenómenos biofísicos, además del desarrollo de nuevas tecnologías.",GRUPO DE INVESTIGACIÓN EN PERCEPCIÓN REMOTA - GIPER,RECONOCIDO,,,,,,,,0%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20080,350,350,1002,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Geología y Mecánica de Rocas,DOCENCIA Y EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,manolo.galvan@correounivalle.edu.co,"Docencia en los programas de Ingeniería Civil, Ingeniería Topográfica y Geografía y en la Maestría en Civil con énfasis en Geotecnia.
Investigación en las áreas de mecánica de rocas y geología.
Extensión en ensayos de laboratorio de mecánica de rocas y geología.",,,,,,,,,,0%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20081,350,350,1007,INGENIERIA CIVIL Y GEOMATICA,Laboratorio de Biomecánica,DOCENCIA Y EXTENSIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jose.garcia@correounivalle.edu.co,"Caracterización mecánica de dispositivos ortopédicos
Caracterización mecánica de tejidos y materiales Biológicos",GRUPO DE BIOMECANICA DE LA UNIVERSIDAD DEL VALLE,A,Investigador Senior (IS),,,,,,,0%,149 del 27 de noviembre de 2012,,No tiene personal. Solo el profesor
20082,335,335,2001,INGENIERIA DE ALIMENTOS,Laboratorio de Bioprocesos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,EXT 8339,,,,,,,,ayda.rodriguez@correounivalle.edu.co,"Estudio de Cinética Enzimática.
Aplicación de enzimas para la hidrolisis de productos vegetales.
Cinética de Fermentaciones.
Ensayos de Fermentaciones con bacterias lácticas.
Producción de inóculos de bacterias lácticas.
Separación e identificación de paredes celulares en productos vegetales.",,,,,,,,,,18%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20083,334,334,2002,INGENIERIA DE ALIMENTOS,Laboratorio de Operaciones Unitarias de Tecnología e Ingeniería de Alimentos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,3218039,,,,,,,,aida.rodriguez@correounivalle.edu.co,"Ensayos a escala planta piloto para la elaboración de productos:  Cárnicos, Frutas, Lácteos, Panadería, Cereales
Estudios de estabilidad de productos alimentarios
Evaluación de empaques de productos alimentarios terminados
Desarrollo de productos a pequeña escala 
Evaluación de Equipos para procesamiento de alimentos
Estudio de microfiltración y caracterización de jugos  de frutas mediante tecnología de membranas.
Alquiler de equipos 
Asesoría en estudios de alimentos 
Evaluación de empresas 
Desarrollar proyectos de colaboración con la industria alimentaria tanto para optimizar sus procesos como para desarrollar nuevos productos.",,,,,,,,,,22%,124A del 24 de septiembre de 2013,,Un laboratorista y una Profesional
20084,338,338,2014,INGENIERIA DE ALIMENTOS,Laboratorio de Análisis Químico de los Alimentos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,EXT 8036,,,,,,,,carlos.velez@correounivalle.edu.co,"Ensayos de humedad,cenizas, grasa, fibra y proteína a productos alimenticios.
Análisis a productos vegetales, jugos de frutas, productos amiláceos .
Análisis químico de alimentos 
 ",,,,,,,,,,54%,040 del 8 de abril de 2014,,Un laboratorista 
20085,338,338,1001,INGENIERIA DE ALIMENTOS,Laboratorio de Fenómenos de Transporte,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,EXT 2482,,,,,,,,carlos.velez@correounivalle.edu.co,"Secado con bomba de calor
Secado con ventana de refractancia
Secado convectivo con control de temperatura y humedad relativa
Pruebas de transporte por tuberías",,,,,,,,,,0%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20086,338,338,2009,INGENIERIA DE ALIMENTOS,Laboratorio de Propiedades Físicas y Fenómenos de Transferencia en Alimentos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,EXT 8035,,,,,,,,alfredo.ayala@correounivalle.edu.co,"Reología de líquidos: características de flujo y viscosidades 
• Reología  de sólidos: ensayos de compresión, relajación,TPA, entre otros
• Reologia dinámica  
• Determinación de actividad de agua 
• Medida del color en alimentos sólidos y líquidos 
• Calorimetría diferencial de barrido (DSC)(transición vítrea, temperatura de galatinización, etc)  
• Pruebas de vida útil en cámara ambiental. Secado por Liofilización",,,,,,,,,,52%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20087,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio de Redes y Sistemas Distribuidos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,john.sanabria@correounivalle.edu.co,"Estudiantes de pregrado y postgrado llevan a cabo practicas relacionados con cursos y proyectos en el área de las redes y sistemas distribuidos.
Exploración de diferentes tecnologías de computación paralela y distribuida así como también de tecnologías para el aprovisionamiento de dichas plataformas tanto en ambientes físicos y virtuales.
Herramientas de aprovisionamiento: Vagrant y Chef.
Paso de Mensajes: MPI.
Map and Reduce: Hadoop.
Grid Computing: Globus Toolkit.
Cloud Computing: OpenStack, OpenNebula.",,,,,,,,,,3%,,No tiene Resolución. Se comprometio en avanzar para obetenerla.,"No tiene personal, solo el  Profesor"
20088,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio de Descubrimiento de Conocimientos en Bases de Datos,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,oswaldo.solarte@correounivalle.edu.co,"Bases de datos
Data warehouse
Data mining
Information Retrieval
Semantic  Web",,,,,,,,,,3%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20089,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio Multimedia y Visión,INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,patricia.trujillo@correounivalle.edu.co,"Visión Computacional.
Procesamiento de Imágenes y Video.
Reconocimiento de Patrones.
Mineria de Datos.
Sistemas de Recomendación.
Tecnologias Multimedia.",,,,,,,,,,3%,124A del 24 de septiembre de 2013,,"No tiene personal, solo la Profesora"
20090,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio Centro de Desarrollo de Software - CEDESOFT,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,mauricio.gaona@correounivalle.edu.co,"• Desarrollo de software
• Especialistas en aplicaciones web y Aplicaciones móviles
• Desarrollo de aplicaciones en Nube y Software como servicio (SaaS)  
• Desarrollo de software educativo
• Interventorías en tecnologías de la información y las comunicaciones (TIC)",,,,,,,,,,0%,,"No tiene resolución del Consejo de la Facultad, sin embargo, dice que tiene una desde aprox. 15 años. Estamos buscandola","No tiene personal, solo el  Profesor"
20091,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio Computación Evolutiva y Vida Artificial - EVALAB,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,angel.garcia@correounivalle.edu.co,"Investigar teoría y aplicaciones de los sistemas 
complejos desde el punto de vista matemático 
computacional y filosófico.",,,,,,,,,,0%,124A del 24 de septiembre de 2013,,"No tiene personal, solo el  Profesor"
20092,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio de Bioinformática,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,pedro.moreno@correounivalle.edu.co,"Los integrantes en el laboratorio  trabajan en las siguientes líneas de investigación: 
• Modelación y predicción de genes y genomas
• Modelación de la estructura y función de proteínas
• Metagenómica
• Desarrollo de algoritmos y software bioinformático.",,,,,,,,,,0%,040 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20093,331,331,2066,INGENIERIA DE SISTEMAS,Laboratorio Lenguajes de Programación ,INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,juanfco.diaz@correounivalle.edu.co,"• Estudiantes en el grupo AVISPA pueden usar los equipos y el servidor para sus trabajos dentro del grupo y sus tareas y evaluaciones 
• Desarrollo de proyectos de investigación fundamentales y aplicada",,,,,,,,,,26%,,"No tiene resolución, pero ha estado trabajando","No tiene personal, solo el  Profesor"
20094,331,331,"2021 A
2021 B
2021 C
2021 D
2021 E",INGENIERIA DE SISTEMAS,"Laboratorios de Docencia de Pregrado - Salas de Cómputo No. 1, 2, 3, 4, 5",DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,angarcia@univalle.edu.co,,,,,,,,,,,0%,140 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20095,x,x,no se encontro en visita de campo,INGENIERIA DE SISTEMAS,Sala de Cómputo Maestría,DOCENCIA /INVESTIGACION,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,angarcia@univalle.edu.co,,,,,,,,,,,0%,140 del 8 de abril de 2014,,"No tiene personal, solo el  Profesor"
20096,x,x,"Planta de Emcali, Puerto Mallarino, según la tabla inicial",CINARA,Laboratorio de Aguas,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,miguel.pena@correounivalle.edu.co,"• Análisis de nitrógeno total kjendhal 
• Análisis de nitrógeno amoniacal 
• Análisis de calidad física y química del agua 
• Turbidez 
• Color 
• pH 
• Alcalinidad total 
• Dureza total 
• Hierro total 
• Manganeso 
• Nitritos 
• Pruebas microbiológicas de la calidad del agua 
• Coliformes totales 
• Coliformes fecales 
• E.coli 
• Bacterias heterotróficas 
• Pseudomonas ",,,,,,,,,,32%,047 del 3 de mayo de 2011,,"Dos Profesionales y un Tecnólogo, contrastitas los tres"
20097,357,357,1002,INGENIERIA INDUSTRIAL ,Laboratorio de  Ingeniería de Cadenas de Abastecimiento- INCAB ,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,camilo.mican@correounivalle.edu.co,,,,,,,,,,,0%,124A del 24 de septiembre de 2013,"Hicieron una solicitud para eliminar los laboratorios de la Escuela, falta una carta oficial de la Dirección. ","No tiene personal, solo el  Profesor"
20098,357,357,1002,INGENIERIA INDUSTRIAL ,Laboratorio de Prospectiva y Vigilancia Tecnológica - PROVIT,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,gladys.rincon@correounivalle.edu.co,"Búsqueda de información en bases de datos de artículos científicos y de patentes.
Elaboración de perfiles tecnológicos.
Construcción de mapas tecnológicos.
Identificación de oportunidades y amenazas en el cambio tecnológico.",,,,,,,,,,0%,124A del 24 de septiembre de 2013,"Hicieron una solicitud para eliminar los laboratorios de la Escuela, falta una carta oficial de la Dirección. ","No tiene personal, solo el  Profesor"
20099,357,357,1002,ESTADISTICA,Laboratorio de Docencia en Estadística,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,rafael.klinger@correounivalle.edu.co,"Introducción a la Estadística, Estadística Descriptiva, Muestreo I, Muestro II.",,,,,,,,7,2,6%,124A del 24 de septiembre de 2013,Lab. sin espacio. Hay una monitora trabajando en la implementación. ,"No tiene personal, solo el  Profesor"
1001,x,x,N/A,CIENCIAS BASICAS,Farmacología Invitro,DOCENCIA E INVESTIGACIÓN ,SEDE SAN FERNADO,Calle 4B N° 36-00,,,,,"jaime.munoz@correounivalle.edu.co gildardo.gomez@correounivalle.edu.co, ogutmon@yahoo.com",,,,,jose.gutierrez@correounivalle.edu.co,Cultivo de celulas para transplante. Los de mayor freucencia células pancreaticas.,,,,,,,,,,"39,0%",Resolución No. 151,Laboratorio piloto,si (1)
1002,x,x,N/A,CIENCIAS BASICAS,Diagnóstico de agentes Biológicos,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",CENTENARIO,,,,,,"graciela.rengifo@correounivalle.edu.co, maria.bomba@correounivalle.edu.co, jose.ivan.rengifo@correounivalle.edu.co, sandra.rosero@correounivalle.edu.co",,,,,gloria.palma@correounivalle.edu.co,Análisis de laboratorio clínico en géneral y pruebas especializadas en el área de virología. Cuenta con laboratorio de rabia y dengue como referente nacional.,,,,,,,,,,"48,7%",Resolución No. 151,Ganador de convocatoria 001,Si (>5)
1003,x,x,N/A,CIENCIAS BASICAS,Neuroanatomia,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-00,,,,,triburi@yahoo.com nhora10@hotmail.com,,,,,maluce13@gmail.com,Análisis de cortes histologicos de tejido neural. Coloraciones especiales.,,,,,,,,,,"40,4%",Resolución No. 151,Ganador de convocatoria 001,Si (1) 
1004,x,x,N/A,CIENCIAS BASICAS,Farmacología,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-01,,,,,"ogutmon@yahoo.com jaime.munoz@correounivalle.edu.co,",,,,,jose.gutierrez@correounivalle.edu.co,"Laboratorio donde se imparten clases prácticas del curso de farmacología, así mismo los estudiantes de la carrera de Medicina como parte del curso asesorados por los docentes realizan trabajos de investigación pre-clínica.",,,,,,,,,,"27,3%",Resolución No. 151,Ganador de convocatoria 001,Si (1)
1005,x,x,N/A,CIENCIAS BASICAS,Fisiología Celular,DOCENCIA (POSTGRADO),SEDE SAN FERNADO,Calle 4B N° 36-02,,,,,"lfierrop65@gmail.com,  william.criollo@correounivalle.edu.co",,,,,leonardo.fierro@correounivalle.edu.co,Laboratorio en donde se realiza investigación científica en una gama muy amplia de temas que buscan entender el funcionamiento de las células.,,,,,,,,,,"39,0%",Resolución No. 151,Ganador de convocatoria 001,Si (1)
1006,x,x,N/A,CIENCIAS BASICAS,Bioquímica Pregrado,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-03,,,,,,,,,,martha.solorzano@correounivalle.edu.co,"Pruebas de determinacion de proteinas, glucosa, entre otros analítos.",,,,,,,,,,,NO TIENE,,Si (1)
1007,x,x,N/A,CIENCIAS BASICAS,Bioquímica Postgrado,DOCENCIA (POSTGRADO) Y INVESTIGACIÓN,SEDE SAN FERNADO,Calle 4B N° 36-04,,,,,,,,,,lorena.ramirez@correounivalle.edu.co,"Ensayos de laboratorio para la determinacion de diferentes componente químicos de origen biológico, de acuerdo a los proyectos de investigación.",,,,,,,,,,"17,0%",Resolución No. 151,,Si (1) Estos dos laboratorios comparten un solo laboratorista
1008,x,x,N/A,CIENCIAS BASICAS,Biologia Molecular,DOCENCIA E INVESTIGACIÓN ,SEDE SAN FERNADO,Calle 4B N° 36-05,,,,,lorena.ramirez@correounivalle.edu.co,,,,,leonardo.fierro@correounivalle.edu.co,Pruebas molecualres de acuerdo al proyecto vigente. ,,,,,,,,,,"17,0%",Resolución No. 151,,
1009,x,x,N/A,CIENCIAS BASICAS,Histología,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-06,,,,,,,,,,carolina.pustorvh@correounivalle.edu.co,Análisis de histología. Coloraciones especiales en diferentes tejidos.,,,,,,,,,,"45,9%",Resolución No. 151,,Si (1)
10010,x,x,N/A,CIENCIAS BASICAS,Citogenética,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-07,,,,,triburi@yahoo.com,,,,,citogenetica.univalle@gmail.com,Laboratorio encaminado a pruebas de diagnóstico citogenetico con muesras de liquido amniótico o cordón umbelical.,,,,,,,,,,"5,6%",NO TIENE,,Si (2)
10011,x,x,N/A,CIENCIAS BASICAS,Anfiteatro,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-08,,,,,triburi@yahoo.com onix424@hotmail.com,,,,,,Laboratorio para las prácticas de anatomía con cadáveres preparados.,,,,,,,,,,"11,8%",NO TIENE,,Si (1)
10012,x,x,N/A,CIENCIAS BASICAS,Pregrado en Patología,INVESTIGACIÓN,SEDE SAN FERNADO,Calle 4B N° 36-09,,,,,registro.cancercali@correounivalle.edu.co,,,,,luis.bravo@correounivalle.edu.co,REGISTRO POBLACIONAL DE CANCER,,,,,,,,,,,NO TIENE,,No
10013,x,x,N/A,CIENCIAS BASICAS,Pregrado en Histología,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-10,,,,,gustavo.villa@correounivalle.edu.co,,,,,liliana.salazar@correounivalle.edu.co,Análisis de histología. Coloraciones especiales en diferentes tejidos.,,,,,,,,,,"4,8%",NO TIENE,,Si (1)
10014,x,x,N/A,CIENCIAS BASICAS,Fisiología de Pregrado,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-11,,,,,,,,,,javier.gaviria@gmail.com,"Realiza prácticas clínicas para análisis de electrocardigramas, electromiogramas, etc.",,,,,,,,,,"11,8%",NO TIENE,"Tuvo cambio de nombre, anteriormente se llamam interactivo de ciencias fisiológicas",Si (1)
10015,x,x,N/A,CIENCIAS BASICAS,Tecnologías genómicas,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-12,,,,,,,,,,leonardo.fierro@correounivalle.edu.co,,,,,,,,,,,,NO TIENE,Laboratorios que van empezar la implmentación del PCE con el fin de ser reconocidos por resolución de decanatura.,No
10016,x,x,N/A,CIENCIAS BASICAS,Bioquímica y fisiología del ejercicio,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-13,,,,,,,,,,leonardo.fierro@correounivalle.edu.co,,,,,,,,,,,,NO TIENE,,No
10017,x,x,N/A,CIENCIAS BASICAS,Electromedicina,-,,,,,,,,,,,,julian.posso@correounivalle.edu.co,Laboratorio de apoyo para brindar soluciones a los equipos de los laboratorios de la Facultad de Salud.,,,,,,,,,,,-,"Se elimino, porque se considera que es un taller de mantenimiento mas que un laboratorio.",-
10018,x,x,N/A,CIENCIAS BASICAS,Electromedicina,-,,,,,,,,,,,,julian.posso@correounivalle.edu.co,Laboratorio de apoyo para brindar soluciones a los equipos de los laboratorios de la Facultad de Salud.,,,,,,,,,,,-,"Se elimino, porque se considera que es un taller de mantenimiento mas que un laboratorio.",-
10019,x,x,N/A," BACTERIOLOGIAY 
LABORATORIO CLINICO",Rotación Hematología,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-13,,,,,bogamai@hotmail.com diana.jurado@correounivalle.edu.co nhora.cardenas@correounivalle.edu.co,,,,,,"Análisis de laboratorio clínico en genral relacionados con el área de hamtologia. Ej: hemogramas completos, células falciformes, extendidos periféricos entre otros",,,,,,,,,,"47,0%",Resolución No. 151,Laboratorio piloto,Estos laboratorios cuentan con una persona encargada de llevar y manejar el sistema de gestion de caldiad para los 5 laboraotrios; y de igual manera una sola laboratorista para los 5 laboratorios.
10020,x,x,N/A," BACTERIOLOGIAY 
LABORATORIO CLINICO",Rotación Parasitología,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-14,,,,,"victor.duenas@correounivalle.edu.co,  nhora.cardenas@correounivalle.edu.co",,,,,jizv66@gmail.com,"Análisis de laboratorio clínico relacionados con diagnóstico para sitológico. Ej: corpoparasitológicos directos, por concentración, gotas gruesa",,,,,,,,,,"40,9%",Resolución No. 151,Laboratorio piloto,
10021,x,x,N/A," BACTERIOLOGIAY 
LABORATORIO CLINICO",Rotación Bacteriologia,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-15,,,,,anpayan@hotmail.com martha.orozco.m@correounivalle.edu.co,,,,,andrey.payan@correounivalle.edu.co,Laboratorio para el manejo de diferentes muestras biológicas para el diagnostico microbiologico. Se llevan a cabo cultivos bacteriológiso y coloraciones especiales.,,,,,,,,,,"29,7%",Resolución No. 151,,
